,original_title,runtime,genres,production_companies,release_date,release_year,budget_adj,revenue_adj,number_of_companies,budget_per_company,Company,revenue_per_company,Profit
0,Jurassic World,124.0,Action|Adventure|Science Fiction|Thriller,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,6/9/15,2015,137999939,1392445892,5,27599987,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",278489178,1254445953
1,Mad Max: Fury Road,120.0,Action|Adventure|Science Fiction|Thriller,Village Roadshow Pictures|Kennedy Miller Productions,5/13/15,2015,137999939,348161292,2,68999969,"['Village Roadshow Pictures', 'Kennedy Miller Productions']",174080646,210161353
2,Insurgent,119.0,Adventure|Science Fiction|Thriller,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,3/18/15,2015,101199955,271619025,4,25299988,"['Summit Entertainment', 'Mandeville Films', 'Red Wagon Entertainment', 'NeoReel']",67904756,170419070
3,Star Wars: The Force Awakens,136.0,Action|Adventure|Science Fiction|Fantasy,Lucasfilm|Truenorth Productions|Bad Robot,12/15/15,2015,183999919,1902723129,3,61333306,"['Lucasfilm', 'Truenorth Productions', 'Bad Robot']",634241043,1718723210
4,Furious 7,137.0,Action|Crime|Thriller,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,4/1/15,2015,174799923,1385748801,5,34959984,"['Universal Pictures', 'Original Film', 'Media Rights Capital', 'Dentsu', 'One Race Films']",277149760,1210948878
5,The Revenant,156.0,Western|Drama|Adventure|Thriller,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,12/25/15,2015,124199945,490314247,5,24839989,"['Regency Enterprises', 'Appian Way', 'CatchPlay', 'Anonymous Content', 'New Regency Pictures']",98062849,366114302
6,Terminator Genisys,125.0,Science Fiction|Action|Thriller|Adventure,Paramount Pictures|Skydance Productions,6/23/15,2015,142599937,405355075,2,71299968,"['Paramount Pictures', 'Skydance Productions']",202677537,262755138
7,The Martian,141.0,Drama|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,9/30/15,2015,99359956,547749654,5,19871991,"['Twentieth Century Fox Film Corporation', 'Scott Free Productions', 'Mid Atlantic Films', 'International Traders', 'TSG Entertainment']",109549930,448389698
8,Minions,91.0,Family|Animation|Adventure|Comedy,Universal Pictures|Illumination Entertainment,6/17/15,2015,68079970,1064192016,2,34039985,"['Universal Pictures', 'Illumination Entertainment']",532096008,996112046
9,Inside Out,94.0,Comedy|Animation|Family,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,6/9/15,2015,160999929,785411574,3,53666643,"['Walt Disney Pictures', 'Pixar Animation Studios', 'Walt Disney Studios Motion Pictures']",261803858,624411645
10,Spectre,148.0,Action|Adventure|Crime,Columbia Pictures|Danjaq|B24,10/26/15,2015,225399900,810220283,3,75133300,"['Columbia Pictures', 'Danjaq', 'B24']",270073427,584820383
11,Jupiter Ascending,124.0,Science Fiction|Fantasy|Action|Adventure,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,2/4/15,2015,161919931,169268630,4,40479982,"['Village Roadshow Pictures', 'Dune Entertainment', 'Anarchos Productions', 'Warner Bros.']",42317157,7348699
12,Ex Machina,108.0,Drama|Science Fiction,DNA Films|Universal Pictures International (UPI)|Film4,1/21/15,2015,13799993,33919845,3,4599997,"['DNA Films', 'Universal Pictures International (UPI)', 'Film4']",11306615,20119852
13,Pixels,105.0,Action|Comedy|Science Fiction,Columbia Pictures|Happy Madison Productions,7/16/15,2015,80959964,224146025,2,40479982,"['Columbia Pictures', 'Happy Madison Productions']",112073012,143186061
14,Avengers: Age of Ultron,141.0,Action|Adventure|Science Fiction,Marvel Studios|Prime Focus|Revolution Sun Studios,4/22/15,2015,257599886,1292632336,3,85866628,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",430877445,1035032450
15,The Hateful Eight,167.0,Crime|Drama|Mystery|Western,Double Feature Films|The Weinstein Company|FilmColony,12/25/15,2015,40479982,143299244,3,13493327,"['Double Feature Films', 'The Weinstein Company', 'FilmColony']",47766414,102819262
16,Taken 3,109.0,Crime|Action|Thriller,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|Cin̩+,1/1/15,2015,44159980,299709578,5,8831996,"['Twentieth Century Fox Film Corporation', 'M6 Films', 'Canal+', 'EuropaCorp', 'Cin̩+']",59941915,255549598
17,Ant-Man,115.0,Science Fiction|Action|Adventure,Marvel Studios,7/14/15,2015,119599947,477113780,1,119599947,['Marvel Studios'],477113780,357513833
18,Cinderella,112.0,Romance|Fantasy|Family|Drama,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,3/12/15,2015,87399961,498963025,4,21849990,"['Walt Disney Pictures', 'Genre Films', 'Beagle Pug Films', 'Allison Shearmur Productions']",124740756,411563064
19,The Hunger Games: Mockingjay - Part 2,136.0,War|Adventure|Science Fiction,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,11/18/15,2015,147199935,598481289,5,29439987,"['Studio Babelsberg', 'StudioCanal', 'Lionsgate', 'Walt Disney Studios Motion Pictures', 'Color Force']",119696257,451281354
